reference_action_mean,rollout/return,reference_action_std,reference_actor_Q_mean,obs_rms_mean,train/loss_critic,reference_perturbed_action_mean,rollout/actions_std,rollout/actions_mean,rollout/episodes,total/duration,rollout/episode_steps,train/param_noise_distance,total/episodes,rollout/Q_mean,total/steps,reference_perturbed_action_std,reference_Q_std,reference_Q_mean,reference_actor_Q_std,train/loss_actor,total/steps_per_second,total/epochs,rollout/return_history,param_noise_stddev,obs_rms_std
-0.07770593464374542,11.552083333333334,0.43710556626319885,8.507490158081055,-0.011463969945907593,0.5926780700683594,-0.29864901304244995,0.5135133862495422,0.0009222679072991014,864.0,57.338804483413696,11.552083333333334,1.0993931293487549,864.0,4.2059006690979,10000,0.48484671115875244,2.1250874996185303,7.844467639923096,1.0182126760482788,-8.25578498840332,174.40196198880784,1,14.05,0.1639088940674591,0.5309709906578064
-0.0714007318019867,15.900556881463803,0.5010363459587097,17.2042179107666,-0.016605354845523834,2.224546194076538,0.03603736311197281,0.45698392391204834,-0.007452535908669233,1257.0,110.49485373497009,15.900556881463803,0.6815421730279922,1257.0,8.354917526245117,20000,0.670565664768219,5.327390193939209,15.308160781860352,2.386716365814209,-16.779245376586914,181.0039049236759,2,32.99,0.13433062777208762,0.49683818221092224
-0.18225333094596863,20.604395604395606,0.4722667932510376,26.444807052612305,-0.019268088042736053,3.699598789215088,0.5002883076667786,0.43215686082839966,-0.007563840132206678,1456.0,162.30714964866638,20.604395604395606,0.40495117008686066,1456.0,12.7443208694458,30000,0.4850340783596039,7.716432094573975,23.63101577758789,2.8882503509521484,-25.935016632080078,184.83474119863888,3,51.5,0.11008992318755192,0.4758985638618469
-0.2544761002063751,25.532133676092545,0.4537656307220459,35.29833221435547,-0.006910019554197788,4.754887580871582,-0.17251113057136536,0.4187048375606537,-0.005555924028158188,1556.0,212.8005039691925,25.532133676092545,0.4319007992744446,1556.0,17.180540084838867,40000,0.51771479845047,11.707343101501465,31.518085479736328,6.765239715576172,-34.84294891357422,187.96947964836994,4,97.28,0.09022358778821578,0.45664429664611816
-0.21766908466815948,30.10683760683761,0.4984571635723114,42.7325439453125,0.0014469570014625788,6.777482509613037,-0.11702312529087067,0.42507117986679077,-0.0034455538261681795,1638.0,262.79388308525085,30.10683760683761,0.334182932972908,1638.0,21.17118263244629,50000,0.4825546443462372,13.864083290100098,38.37234115600586,8.422015190124512,-42.614585876464844,190.26318045530726,5,113.99,0.07394224246582377,0.4602111577987671
-0.28157514333724976,35.604776119402985,0.48115429282188416,50.809539794921875,0.005395814310759306,7.693105220794678,-0.2682974338531494,0.40861931443214417,-0.0019226169679313898,1675.0,315.63960456848145,35.604776119402985,0.2390885204076767,1675.0,25.298620223999023,60000,0.6126402020454407,16.844482421875,45.155311584472656,9.405882835388184,-49.973609924316406,190.09021406558742,6,167.25,0.06305951655006926,0.4520142674446106
-0.19869166612625122,40.767469172049324,0.4722272455692291,57.547950744628906,0.006119434721767902,10.597000122070312,-0.09589793533086777,0.3965676426887512,-0.0010880817426368594,1703.0,366.9866225719452,40.767469172049324,0.2351985052227974,1703.0,29.369850158691406,70000,0.5352571606636047,18.79359245300293,51.50727081298828,11.184922218322754,-57.01456832885742,190.74264753690574,7,239.08,0.052718847660376544,0.4445731043815613
-0.0011043231934309006,46.321366531557615,0.5467891693115234,63.727237701416016,0.0016025472432374954,12.239383697509766,0.1083986684679985,0.3846515417098999,-0.0010187088046222925,1727.0,417.4051516056061,46.321366531557615,0.3113638758659363,1727.0,33.4393310546875,80000,0.4639039933681488,19.975814819335938,57.5,12.053982734680176,-63.100196838378906,191.6603081976086,8,323.43,0.048684971322958646,0.4364772439002991
0.2089569866657257,51.23949337938975,0.4823055863380432,68.14222717285156,-0.0017161951400339603,12.504190444946289,0.088836170732975,0.3764021694660187,-0.001258568954654038,1737.0,469.9332277774811,51.23949337938975,0.15308646112680435,1737.0,37.44011688232422,90000,0.602607250213623,23.195236206054688,61.20979309082031,14.914917945861816,-68.61944580078125,191.51657018519248,9,397.61,0.045863445263280886,0.425176739692688
0.04227147623896599,56.67029192902118,0.47987377643585205,72.38162231445312,-0.0063672373071312904,16.557971954345703,-0.07405542582273483,0.36646726727485657,-0.001136104459874332,1747.0,521.4038248062134,56.67029192902118,0.18629220873117447,1747.0,41.20075988769531,100000,0.530944287776947,25.280353546142578,64.83099365234375,15.769754409790039,-73.3543930053711,191.7899241287045,10,477.87,0.046785300513072836,0.4140554666519165
0.1802988499403,62.03927148548662,0.4781884551048279,76.08732604980469,-0.010238908231258392,17.28915786743164,0.1872149407863617,0.35111203789711,-0.0010227629682049155,1757.0,574.1017570495605,62.03927148548662,0.16083483770489693,1757.0,44.64645767211914,110000,0.522842288017273,26.40325164794922,68.23582458496094,16.615407943725586,-78.5595703125,191.6036637221161,11,552.74,0.04966353924655011,0.4006701111793518
0.21100150048732758,67.34748160724392,0.49826687574386597,79.12677001953125,-0.01684464141726494,19.17831802368164,0.19809569418430328,0.34278783202171326,-0.0009447027114219964,1767.0,627.9305284023285,67.34748160724392,0.1577502265572548,1767.0,47.919376373291016,120000,0.5247525572776794,28.28220558166504,70.73558044433594,16.70868682861328,-82.66178131103516,191.10394314689768,12,628.07,0.054859444277966955,0.39025384187698364
0.04860226437449455,72.9870786516854,0.4538186490535736,84.43901062011719,-0.020261172205209732,13.720868110656738,0.015919120982289314,0.33883994817733765,-0.0011158179258927703,1780.0,686.8090646266937,72.9870786516854,0.159676231443882,1780.0,50.926513671875,130000,0.4965466558933258,28.285594940185547,75.21153259277344,15.035874366760254,-86.1982421875,189.28113604711936,13,680.74,0.057086957702023974,0.3842679560184479
0.08349224925041199,77.67225013958682,0.5469508171081543,85.5035629272461,-0.026825370267033577,18.807754516601562,0.1393122375011444,0.328102707862854,-0.0011719727190211415,1791.0,740.3986303806305,77.67225013958682,0.29186154901981354,1791.0,53.738399505615234,140000,0.5308308601379395,29.82154655456543,76.74606323242188,16.79558563232422,-89.0665512084961,189.08732979155783,14,724.93,0.055962119107954095,0.37767666578292847
0.09641480445861816,82.75485302273988,0.4423089623451233,90.23541259765625,-0.03403329849243164,18.147502899169922,0.0033843088895082474,0.32178959250450134,-0.0011813235469162464,1803.0,794.6207706928253,82.75485302273988,0.22014138102531433,1803.0,56.35065841674805,150000,0.48277047276496887,30.70839500427246,79.22303771972656,16.578651428222656,-92.25372314453125,188.76929163230386,15,797.8,0.05940491710342653,0.3724624812602997
